김선빈 (Sun-Bin Kim),10008,올시즌,2024,KIA,34,2B,1.49,0.12,58,227,224,195,26,60,7,0,5,82,26,3,0,25,4,0,21,9,2,0,0.308,0.397,0.421,0.818,0.023,115.1,1.61
안치홍 (Chi-Hong An),10014,올시즌,2024,한화,33,DH,0.88,-0.72,62,265,265,234,35,62,9,0,8,95,30,2,1,25,4,0,40,2,0,2,0.265,0.343,0.406,0.749,-0.004,94.6,0.16
이용규 (Yong-Gyu Lee),10035,올시즌,2024,넥센,38,LF,0.89,0.12,32,134,132,108,15,32,3,0,1,38,6,2,1,18,5,0,19,3,2,1,0.296,0.417,0.352,0.769,0.027,118.2,1.01
이재원 (Jae-Won Lee),10082,올시즌,2024,한화,35,C,-0.14,0.07,17,37,36,28,3,5,0,0,0,5,3,0,0,5,2,1,5,1,1,1,0.179,0.333,0.179,0.512,-0.070,46.6,-0.07
최정 (Jeong Choi),10106,올시즌,2024,,36,3B,2.81,-0.43,55,235,235,197,38,57,13,1,18,126,54,5,0,26,9,0,45,6,0,3,0.289,0.391,0.640,1.031,0.076,155.9,2.38
김강민 (Kang-Min Kim),10108,올시즌,2024,한화,41,CF,0.13,0.08,28,61,61,54,3,16,0,0,1,19,6,0,0,4,3,0,13,1,0,0,0.296,0.377,0.352,0.729,-0.012,89.1,0.22
이명기 (Myung-Ki Lee),10119,올시즌,2024,한화,36,DH,-0.14,0.02,4,8,7,7,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0.000,0.000,0.000,0.000,-0.324,-117.0,-0.12
양의지 (Eui-Ji Yang),10165,올시즌,2024,두산,36,C,2.11,-0.02,58,240,238,220,26,78,11,0,8,113,52,2,0,12,3,2,21,6,0,5,0.355,0.388,0.514,0.902,0.050,135.8,2.10
최재훈 (Jae-Hun Choi),10170,올시즌,2024,한화,34,C,0.97,0.45,47,161,157,126,18,38,8,0,0,46,15,0,0,15,12,0,26,2,4,4,0.302,0.414,0.365,0.779,0.024,115.6,1.42
김재호 (Jae-Ho Kim),10174,올시즌,2024,두산,38,SS,0.02,-0.26,20,57,55,45,6,11,3,0,0,14,3,0,0,8,1,0,6,2,2,1,0.244,0.364,0.311,0.675,-0.018,84.6,-0.24
이원석 (Won-Seok Lee),10180,올시즌,2024,넥센,37,1B,-0.26,-0.45,28,85,85,72,5,16,3,0,0,19,6,0,0,10,1,0,11,2,0,2,0.222,0.318,0.264,0.582,-0.064,49.8,-0.71
최주환 (Joo-Hwan Choi),10182,올시즌,2024,넥센,35,1B,-1.36,-0.31,51,223,223,201,18,38,6,0,4,56,24,0,1,16,3,1,44,6,0,3,0.189,0.256,0.279,0.535,-0.093,27.1,-1.68
허경민 (Kyeong-Min Heo),10184,올시즌,2024,두산,33,3B,2.40,0.47,52,213,213,185,35,68,15,0,2,89,30,2,0,14,10,0,11,1,0,4,0.368,0.432,0.481,0.913,0.070,151.5,2.87
김현수 (Hyun-Soo Kim),10187,올시즌,2024,LG,35,DH,1.76,-0.71,63,273,273,246,35,77,15,2,6,114,39,2,1,23,1,1,33,6,0,3,0.313,0.370,0.463,0.833,0.025,116.9,1.05
