player_id,WAR%,wRC+%,OPS%,wOBA%,공격WAA%,WAA%,IsoP%,IsoD%,BABIP%,공격WAR%,wRC%,WPA,spAVG%,P/PA,AVG%,OBP%,SLG%,종합RAA%,공격RAA%,수비RAA%,타격RAA%,주루RAA%,필딩RAA%,HR%,RBI%
10008,88,76,53,81,87,87,28,70,53,88,85,46,84,86,72,81,42,87,87,83,87,91,66,84,79
10014,57,63,30,62,48,5,39,53,14,81,87,33,21,46,25,28,33,5,48,2,58,28,8,91,86
10035,79,81,,80,86,83,,,,80,73,,,,,,,83,86,90,86,60,77,63,52
10082,55,56,,61,52,61,,,,50,47,,,,,,,61,52,61,56,38,54,50,44
10106,95,95,100,95,98,96,100,81,21,98,97,70,46,49,56,75,100,96,98,0,97,89,8,100,99
10108,58,54,,62,42,54,,,,52,51,,,,,,,54,42,81,48,31,65,63,52
10119,25,6,,7,35,39,,,,15,2,,,,,,,39,35,32,35,50,50,50,29
10165,92,86,72,83,93,92,51,2,77,92,92,77,100,7,93,70,74,92,93,9,93,16,22,91,98
10170,87,75,,77,84,89,,,,81,77,,,,,,,89,84,76,85,20,56,50,66
10174,10,51,,54,28,14,,,,40,50,,,,,,,14,28,0,44,4,7,50,40
10180,6,33,,35,12,6,,,,15,52,,,,,,,6,12,3,15,28,15,50,52
10182,0,21,0,24,0,0,19,40,2,0,56,2,9,79,0,0,0,0,0,96,1,14,87,80,77
10184,97,93,79,92,96,98,33,33,79,95,92,91,77,26,95,93,63,98,96,92,96,79,83,74,86
10187,74,73,49,73,85,24,46,25,49,89,91,23,16,21,61,47,51,24,85,4,85,34,16,86,91
10189,94,92,86,94,96,93,56,35,100,96,96,93,74,28,93,91,81,93,96,10,96,86,21,86,88
10195,84,48,11,48,26,71,16,63,11,78,82,21,12,65,16,25,5,71,26,98,11,97,94,69,69
10232,73,60,,58,36,57,,,,72,76,,,,,,,57,36,53,43,21,37,74,79
10235,93,71,42,72,83,94,37,84,39,84,81,56,61,82,28,58,35,94,83,97,83,87,92,84,89
10238,52,45,,46,23,31,,,,44,55,,,,,,,31,23,76,28,16,61,69,56
10249,73,47,,50,65,80,,,,67,58,,,,,,,80,65,93,30,96,89,63,56
10253,54,48,,53,27,19,,,,67,67,,,,,,,19,27,35,22,85,41,74,65
10261,79,51,19,51,17,40,25,0,65,75,83,12,51,33,54,12,30,40,17,100,16,73,96,84,94
10266,82,89,,88,92,81,,,,89,83,,,,,,,81,92,7,92,37,20,88,86
10312,82,45,,45,12,79,,,,65,71,,,,,,,79,12,96,12,83,91,69,75
10320,67,43,,39,14,26,,,,60,65,,,,,,,26,14,24,12,92,33,74,75
10344,80,81,61,79,89,52,74,49,16,92,93,67,82,84,40,39,67,52,89,2,91,9,11,94,99
10387,98,92,77,85,94,98,82,88,25,94,88,16,53,75,35,65,79,98,94,97,95,36,92,94,90
10400,3,35,,48,10,2,,,,20,58,,,,,,,2,10,6,13,24,18,84,61
10407,71,44,7,42,5,21,18,32,28,65,79,5,7,32,18,14,12,21,5,96,5,80,88,80,75
10459,69,47,,51,25,68,,,,54,60,,,,,,,68,25,95,26,29,86,74,69
10469,49,99,,99,75,68,,,,51,29,,,,,,,68,75,17,74,45,37,50,29
10470,27,50,,58,16,8,,,,63,70,,,,,,,8,16,82,21,12,75,88,75
10475,84,64,,62,64,84,,,,76,76,,,,,,,84,64,67,63,67,57,69,66
10557,46,31,,35,48,60,,,,33,25,,,,,,,60,48,77,51,44,64,50,19
10636,66,44,,38,36,72,,,,50,49,,,,,,,72,36,95,33,78,85,50,48
10640,65,75,,79,79,42,,,,73,68,,,,,,,42,79,7,81,22,14,80,66
10643,72,77,67,79,88,23,86,74,61,90,90,81,4,89,21,42,77,23,88,2,89,35,9,96,95
10659,53,76,,83,73,64,,,,55,44,,,,,,,64,73,29,72,71,35,63,44
10684,9,31,,31,17,13,,,,15,45,,,,,,,13,17,3,19,29,11,50,57
10707,65,89,,89,79,77,,,,65,51,,,,,,,77,79,74,79,33,46,50,44
10753,11,26,,28,1,5,,,,1,52,,,,,,,5,1,80,2,4,61,84,71
10804,26,61,,65,23,8,,,,67,70,,,,,,,8,23,1,48,0,2,74,68
10810,12,22,,26,4,13,,,,3,42,,,,,,,13,4,78,6,23,72,50,54
10815,16,43,30,54,8,2,81,77,7,63,77,54,42,74,5,9,49,2,8,4,8,88,9,95,91
